Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
788,6,9242,2825.233333333333,1,6,12,174,4141,-2,6,1002,5.0,1,9018,31.04641790511995,236,1,46.61612907334207,15776,5,60142,0
788,6,9242,2825.233333333333,1,6,12,174,4141,1,6,3833,5.0,3,9018,30.1680304036694,237,1,46.61612907334207,36352,6,34692,0
788,6,9242,2825.233333333333,1,6,12,174,4141,1,6,3833,5.0,3,9018,25.18923173183331,238,1,16415.0,27385,6,51756,0
788,6,9242,2825.233333333333,1,6,12,174,4141,1,6,3833,5.0,1,9018,25.502468550245663,86,1,46.61612907334207,14663,5,60813,0
811,6,9242,2825.233333333333,1,6,12,0,4141,-1,200,3833,5.0,1,9018,22.762202172732568,230,1,46.61612907334207,28107,6,50663,0
811,6,9242,3093.745000000001,1,6,12,174,4141,-2,200,3833,5.0,3,9018,37.56505276771999,239,1,46.61612907334207,39164,6,26863,0
702,13,9973,2948.605833333333,5,5,20,243,1299,16,201,1155,4.0,2,2266,37.08907564543987,135,0,65.00817428651536,7318,2,57292,2
702,13,9973,2948.605833333333,5,5,20,211,1299,16,201,1155,4.0,2,2266,30.908080633467584,136,2,65.00817428651536,75768,1,64954,2
702,15,9973,3093.745000000001,5,5,20,211,1299,16,201,1155,8.0,2,2266,38.03072168039317,137,2,65.00817428651536,41518,4,12827,2
702,13,9973,2948.605833333333,5,5,20,211,1299,17,239,1155,8.0,2,2266,23.40441277698757,138,2,65.00817428651536,38614,1,72145,2
702,13,9973,2948.605833333333,5,5,20,243,1299,16,201,4156,8.0,2,2266,29.073758182245705,139,2,65.00817428651536,37775,6,28209,2
702,13,9973,2948.605833333333,5,5,20,211,1299,16,201,1155,8.0,2,2266,32.78263672653516,140,2,65.00817428651536,77331,2,66264,2
702,13,9973,2948.605833333333,5,5,20,211,1299,16,201,1155,8.0,2,2266,35.58400504980836,141,2,65.00817428651536,50058,0,72111,2
723,13,9973,2948.605833333333,5,5,20,211,1299,16,138,1155,8.0,2,2267,31.13948358493632,86,2,65.00817428651536,38860,1,72037,2
510,4,17849,7266.686666666667,3,6,1,174,4875,-1,6,3320,3.0,1,12924,28.210617211444603,222,1,135.17337097171767,90532,1,91583,2
554,4,17849,7266.686666666667,3,6,433,174,4875,4,200,3320,3.0,1,12924,41.036168282350594,223,0,135.17337097171767,20516,1,89159,0
531,4,17849,7266.686666666667,3,6,1,174,4875,4,6,3320,3.0,1,12924,34.67019437922772,224,1,135.17337097171767,44532,2,81785,2
531,4,17849,7266.686666666667,3,6,1,174,4875,4,200,3320,3.0,1,12924,31.82853557484664,225,1,135.17337097171767,91048,6,95829,2
531,4,17849,7266.686666666667,3,6,1,174,4875,4,200,3320,3.0,1,12924,34.702836927947075,226,1,135.17337097171767,42375,2,83003,0
531,4,17849,7266.686666666667,3,6,1,174,4875,4,6,3320,3.0,1,12924,38.32363895436978,217,1,135.17337097171767,75044,6,7648,0
531,4,17850,3093.745000000001,3,6,1,210,4875,4,200,3320,3.0,3,12924,25.97917280396149,218,1,80357.0,22438,1,88831,0
531,4,17849,7266.686666666667,3,6,1,174,4875,-1,179,3320,3.0,1,12924,30.87079911079545,227,1,135.17337097171767,90327,1,91609,0
577,5,13338,4766.68,6,4,14,211,4133,10,705,3802,3.0,2,4428,25.64924606724341,229,2,124.39208242092045,37824,4,60901,2
596,5,13338,4766.68,6,4,14,211,4133,10,9,3658,3.0,2,4428,29.40877527612245,230,2,124.39208242092045,16376,2,74063,2
577,5,13339,3093.745000000001,6,4,14,211,4133,15,30,3802,3.0,3,4428,31.25892846912917,239,0,124.39208242092045,48046,1,82799,2
577,5,13338,4766.68,6,4,14,211,4133,10,685,739,3.0,2,4428,27.19258740532601,240,2,124.39208242092045,62131,6,4079,2
577,5,13338,4766.68,6,4,14,211,4133,10,705,1213,3.0,2,4428,34.59532445612005,243,2,124.39208242092045,36294,6,66624,2
577,5,13338,4766.68,6,4,14,211,4133,10,705,3802,3.0,3,4428,23.195025404792624,244,2,124.39208242092045,71901,6,90238,2
597,5,13338,4766.68,6,4,14,211,4133,10,705,3802,7.0,2,4428,35.112531991297786,245,2,124.39208242092045,20748,4,74618,2
597,5,13338,4766.68,6,4,14,211,4133,10,705,3802,7.0,2,4428,32.8788050668308,246,2,124.39208242092045,62136,6,4066,2
673,8,17631,3093.745000000001,6,5,32,343,5404,23,732,4261,6.0,3,6570,24.523163853918167,383,2,36.54819717138717,12096,4,26466,1
673,8,17631,519.12875,6,5,32,343,5404,23,732,4261,6.0,2,6570,39.90251759709182,392,2,36.54819717138717,49195,4,18478,1
673,8,17632,519.12875,6,5,32,343,5404,23,179,4261,6.0,2,6570,36.47591386327275,393,0,36.54819717138717,58809,4,15148,1
673,8,17631,519.12875,6,5,32,343,5404,22,685,4261,6.0,2,6570,32.09749227865355,396,2,36.54819717138717,30543,6,31655,1
673,8,17631,519.12875,6,5,32,343,5404,22,732,4261,6.0,2,6570,37.16937449181636,397,2,36.54819717138717,62504,6,19893,1
673,8,17631,519.12875,6,5,32,343,5404,23,671,4383,6.0,2,6570,28.57003140799636,398,2,36.54819717138717,64179,5,15865,1
673,8,17631,3093.745000000001,6,5,32,343,5404,21,732,4383,9.0,2,6570,38.46541540543407,86,2,36.54819717138717,44828,5,23501,1
673,8,17632,519.12875,6,5,32,343,5404,23,732,4261,9.0,2,6570,28.815537059010616,400,0,36.54819717138717,91048,6,23455,1
597,5,7971,2415.855,8,7,14,274,4118,16,81,4131,5.0,2,11742,37.41820916883601,123,0,101.3286373638512,64509,2,50553,2
0,5,7971,3093.745000000001,8,7,14,274,4118,16,62,4131,6.0,2,11742,29.71137554092952,124,2,101.3286373638512,45020,6,3082,2
621,5,7971,2415.855,8,7,14,274,4118,16,9,4131,5.0,2,11742,25.413616742350907,125,2,101.3286373638512,86995,4,44603,2
621,5,7972,2415.855,8,7,14,274,4118,16,9,4131,6.0,2,11742,35.946278218900645,126,2,101.3286373638512,83277,2,40301,2
621,5,7971,2415.855,8,7,14,274,4118,16,62,4131,5.0,3,11742,28.2774200145778,127,2,101.3286373638512,46236,6,2181,2
621,5,7971,2415.855,8,7,14,274,4118,16,9,4131,5.0,3,11742,34.58659948959524,86,2,101.3286373638512,70300,3,50973,2
621,5,7971,2415.855,8,7,14,274,4118,16,81,1137,5.0,2,11742,30.099067241911712,129,2,101.3286373638512,12295,6,37780,2
621,5,7971,2415.855,8,7,14,306,4118,15,80,4131,5.0,2,11742,39.33348789822524,130,2,101.3286373638512,28373,5,12997,2
475,12,9428,2942.148333333333,6,6,7,174,4872,8,81,3908,0.0,2,12108,25.36959679239191,97,2,45.14129822463578,82374,5,72490,2
475,12,9428,2942.148333333333,6,6,7,174,4872,12,81,3908,0.0,2,12108,37.958569410003335,98,2,45.14129822463578,91048,6,4638,2
196,12,9428,2942.148333333333,6,6,7,174,4872,8,81,1077,1.0,2,12108,27.38010904580052,107,2,45.14129822463578,40685,6,27498,2
491,12,9428,2942.148333333333,6,6,7,174,4872,8,81,3908,1.0,3,12108,34.15826211876792,108,2,45.14129822463578,19289,5,60478,2
475,12,9428,2942.148333333333,6,6,7,174,4872,8,98,3908,1.0,2,12108,30.788038803709785,111,2,45.14129822463578,57090,2,73626,2
492,12,9428,3093.745000000001,6,6,7,210,4872,8,81,3908,1.0,2,12108,34.280968719435315,112,2,45.14129822463578,5515,3,64364,2
492,12,9428,3093.745000000001,6,6,7,0,4872,8,117,3908,1.0,2,12108,29.50345426644776,113,2,45.14129822463578,2034,3,65866,2
492,12,9428,2942.148333333333,6,6,7,174,4872,8,117,3908,1.0,2,12108,36.012793772472094,114,2,45.14129822463578,89934,4,68688,2
235,0,18189,3093.745000000001,6,7,16,1,3463,16,30,4292,0.0,2,2005,37.11561494309292,267,2,0.0,19898,0,95658,2
235,0,18190,7591.59,6,7,16,1,3463,16,30,4292,4.0,2,2005,39.46775837121139,268,2,0.0,76776,5,47875,2
235,0,18189,7591.59,6,7,16,1,3463,18,30,4292,4.0,3,2005,27.792788363714145,269,2,0.0,25241,1,94744,2
235,0,18189,7591.59,6,7,16,2,3463,16,30,4292,4.0,2,2005,42.944681681740505,86,2,0.0,8778,1,96295,1
235,0,18189,7591.59,6,7,16,1,3463,16,705,4292,4.0,2,2005,34.3576502428514,271,0,0.0,80599,1,97286,1
235,0,18189,7591.59,6,7,16,1,3463,16,62,1390,4.0,2,2005,28.776937743887977,86,2,0.0,40911,6,93410,1
235,0,18189,7591.59,6,7,16,1,3463,16,9,4292,4.0,3,2005,40.75852163733138,273,2,0.0,68780,1,97633,1
235,0,18189,7591.59,6,7,16,1,3463,16,30,4292,4.0,2,2005,27.727646781775498,274,2,0.0,41066,4,92681,1
811,13,9530,2898.385,6,7,17,307,1112,11,46,4302,8.0,2,1883,28.94089258854545,363,2,103.03756035536594,39394,5,9720,2
838,13,9530,2898.385,6,7,17,307,1112,11,46,4302,8.0,2,1883,27.86131019311364,364,2,103.03756035536594,1442,4,55028,2
838,13,9530,2898.385,6,7,17,307,1112,10,46,4302,8.0,2,1883,27.88169704475605,365,2,103.03756035536594,50189,1,63420,2
838,13,9530,2898.385,6,7,17,307,1112,11,46,4302,8.0,2,1883,38.39455822201335,366,2,103.03756035536594,42728,6,7784,2
838,13,9530,2898.385,6,7,17,307,1112,15,179,4184,10.0,3,1883,33.23978443489355,367,2,103.03756035536594,19734,3,34915,2
838,13,9530,2898.385,6,7,17,307,1112,11,61,4184,10.0,2,1883,26.874467413543886,358,2,103.03756035536594,41712,6,8689,2
838,13,9530,2898.385,6,7,17,307,1112,7,179,4302,10.0,2,1884,24.20553320227637,359,2,103.03756035536594,91048,6,95554,2
838,13,9530,2898.385,6,7,17,307,1112,13,46,2202,10.0,2,1883,27.930123710625228,368,2,103.03756035536594,50827,6,2083,2
388,11,18717,8079.285,6,6,12,2,3463,18,705,1952,1.0,2,474,25.71557884311532,243,2,0.0,58996,6,87804,2
388,11,18717,8079.285,6,6,12,1,3463,18,705,1254,1.0,3,474,28.711202517052943,244,2,0.0,47438,4,92456,2
388,11,18717,8079.285,6,6,12,1,3463,18,685,1952,1.0,3,474,34.92287233220604,245,2,0.0,25395,2,96391,2
388,11,18717,3093.745000000001,6,6,12,1,3463,19,705,1707,1.0,2,474,26.51363149248924,246,2,629.8156531464217,62248,5,84594,0
388,11,18717,7449.469346853578,6,6,12,1,3463,18,179,1952,1.0,3,474,38.64911430691306,247,2,629.8156531464217,80024,1,98290,0
388,11,18717,7449.469346853578,6,6,12,1,3463,16,705,1952,1.0,2,474,44.6768885939621,248,2,629.8156531464217,3656,1,97623,0
388,11,18717,7449.469346853578,6,6,12,1,3463,18,705,1480,1.0,2,474,28.807349824215013,249,2,629.8156531464217,78571,0,49669,2
388,11,18718,7449.469346853578,6,6,12,1,3463,18,705,1952,1.0,2,474,33.89444259920451,250,2,629.8156531464217,4603,2,97811,0
492,5,6140,1512.361666666667,6,7,17,274,2961,52,179,4377,7.0,0,6043,29.934185732751413,123,2,49.57206224445275,80875,6,42378,1
492,5,6140,1512.361666666667,6,7,17,274,2961,51,153,4377,7.0,0,6043,36.6412035787929,124,0,49.57206224445275,66101,3,40234,1
492,5,6140,1512.361666666667,6,7,17,274,2961,48,179,1710,7.0,3,6043,37.62486247304565,86,2,49.57206224445275,15774,4,13077,1
492,5,6140,1512.361666666667,6,7,17,274,2961,51,179,4377,7.0,0,6043,28.870386917234462,126,2,49.57206224445275,70145,3,37923,2
510,5,6140,1512.361666666667,6,7,17,274,2961,51,179,4377,7.0,0,6043,28.05884596384257,86,2,49.57206224445275,24698,6,10763,1
510,15,6140,1512.361666666667,6,1029,17,274,2961,51,138,4377,8.0,0,6043,25.84779062032988,128,2,49.57206224445275,83149,4,33029,1
510,5,6140,3093.745000000001,6,7,17,306,2961,51,179,4273,8.0,3,6043,25.84314493873217,129,2,56566.0,8803,4,18495,1
510,5,6140,1512.361666666667,6,7,17,274,2961,53,179,4377,8.0,0,6043,23.70919322410504,130,2,49.57206224445275,7623,5,22942,2
723,11,6240,1828.24,7,5,17,1,3463,30,46,3605,2.0,3,12519,26.084542750932684,136,0,0.0,62331,2,61768,2
723,11,6240,1828.24,7,5,17,1,3463,30,81,3605,2.0,3,12519,25.665856781285065,137,1,0.0,91048,1,61611,2
723,11,6240,1828.24,7,5,17,1,3463,30,46,3605,2.0,2,12519,33.66946005394869,138,1,0.0,57024,2,63121,2
723,11,6240,1828.24,7,488,17,1,3463,30,46,3605,2.0,2,12519,34.503707241298585,139,1,0.0,58703,2,62719,1
723,11,6240,3093.745000000001,7,5,17,1,3463,30,179,3605,2.0,2,12519,41.17638419789344,140,1,0.0,23457,6,39565,1
723,15,6240,3093.745000000001,7,5,17,1,3463,30,46,3605,2.0,2,12519,38.78807246113495,141,1,0.0,18999,6,45428,1
723,11,6240,1828.24,7,5,17,1,3463,30,99,3605,2.0,2,12519,27.182482771287628,142,1,0.0,27373,5,28899,1
723,11,6240,3093.745000000001,7,5,5240,1,3463,26,30,3605,4.0,3,12519,28.781887776659712,133,1,0.0,90646,3,52442,1
723,10,162,3093.745000000001,7,5,17,274,1046,48,179,4275,6.0,0,4103,25.951272885300533,24,2,37.58807283812568,15473,1,35944,1
723,10,162,1074.5845833333333,7,5,17,274,1046,48,153,4152,6.0,0,4103,32.38559762083814,27,0,37.58807283812568,87539,6,24566,1
723,10,162,1074.5845833333333,7,5,17,274,1046,48,263,4152,6.0,0,4103,23.731347914755407,28,2,37.58807283812568,87259,6,24737,1
723,10,162,1074.5845833333333,7,5,17,274,1046,43,201,4152,6.0,3,4103,27.61417777754393,29,2,37.58807283812568,59702,3,30896,2
723,10,162,1074.5845833333333,7,5,17,274,1046,51,179,4152,6.0,0,4103,32.29348991062007,30,2,37.58807283812568,73053,0,35448,1
747,15,162,1074.5845833333333,7,5,17,274,1046,48,283,1151,1050.0,0,4103,25.105402554318484,31,2,37.58807283812568,77915,6,32076,1
747,10,162,1074.5845833333333,7,5,17,274,1046,52,219,4152,6.0,3,4103,24.713823993258373,32,2,37.58807283812568,70353,6,37050,1
747,10,163,1074.5845833333333,7,5,17,274,1046,48,219,4152,6.0,0,4103,36.83702882243363,33,2,37.58807283812568,76369,6,33241,1
217,5,601,8873.4275,4,4,1,1,3463,10,731,812,0.0,3,11755,29.815895626895166,322,1,0.0,53419,4,92936,0
235,5,601,8873.4275,4,4,1,1,3463,5,685,4383,0.0,3,11755,28.10808628993924,313,1,0.0,81870,6,59004,0
235,5,601,8873.4275,4,4,4975,1,3463,2,671,812,0.0,1,11755,42.070458602150005,314,1,0.0,24488,1,97968,0
235,5,601,3093.745000000001,4,4,1,1,3463,5,685,510,0.0,1,11755,25.84254793986021,323,1,0.0,72548,4,79533,0
235,5,602,8873.4275,4,4,1,0,3463,5,671,812,0.0,1,11755,28.8205537792444,324,1,0.0,49634,2,93715,0
235,5,601,8873.4275,4,4,1,1,3463,5,671,27,0.0,1,11755,31.72760359530652,86,1,0.0,91048,2,97117,2
235,5,601,8873.4275,4,4,1,1,3463,9,570,812,1.0,3,11755,43.6651184057441,86,1,0.0,28835,1,97571,2
235,5,601,8873.4275,4,4,1,1,3463,7,671,812,1.0,1,11755,39.24363977621796,327,1,0.0,53244,0,93742,2
509,7,1761,782.0370833333334,5,5,10,0,4134,28,179,1692,7.0,3,10573,33.07588356651339,52,2,26.060347529205966,0,1,31366,2
492,7,1761,782.0370833333334,5,5,10,0,4134,25,153,1692,7.0,2,10573,38.15374125597254,53,2,26.060347529205966,1422,6,14965,2
492,7,1761,782.0370833333334,5,5,10,211,4134,25,117,1692,7.0,2,10573,23.17983273627976,54,2,26.060347529205966,46886,6,41603,2
510,15,1761,782.0370833333334,5,5,10,211,4134,25,153,1692,6.0,2,10573,28.819407058304,55,2,33746.0,45809,5,38228,1
510,7,1762,782.0370833333334,5,5,10,211,4134,20,179,1692,7.0,2,10573,37.24021434251173,56,2,26.060347529205966,55222,6,38258,1
510,7,1761,782.0370833333334,5,5,10,211,4134,25,179,1692,7.0,2,10573,36.52748004014412,57,2,26.060347529205966,60859,6,35495,1
510,7,1761,782.0370833333334,5,5,10,211,4134,25,201,2504,7.0,2,10573,34.125305925956305,86,2,26.060347529205966,67037,5,27670,1
510,7,1761,782.0370833333334,5,5,10,211,4134,25,179,1692,11.0,2,10573,31.978873515820705,49,2,26.060347529205966,73472,6,27887,1
555,9,13792,4720.926666666667,9,8,31,366,4564,47,179,4050,12.0,0,8066,32.321769461626175,86,2,200.43261339470683,40826,6,36211,1
